爱情	ài qíng	love
教育	jiào yù	educatione, to teach
饺子	jiǎo zi	dumpling
结果	jié guǒ	result, outcome, finally, at last
解释	jiě shì	explanation, to explain
接受	jiē shòu	to accept, to receive
节约	jié yuē	to economize, to conserve
尽管	jǐn guǎn	unhesitatingly, in spite of, although, despite
进行	jìn xíng	to be in progress, be underway
紧张	jǐn zhāng	nervous, tense, in short supply
禁止	jìn zhǐ	to prohibit, to forbid, to ban
精彩	jīng cǎi	brilliant, excellent, splendid
警察	jǐng chá	police
经济	jīng jì	economy
京剧	jīng jù	Beijing Opera
经历	jīng lì	experience, to experience
竟然	jìng rán	unexpectedly
精神	jīng shén	spirit, mind
经验	jīng yàn	experience, to experience
竞争	jìng zhēng	competition, to compete
镜子	jìng zi	mirror
究竟	jiū jìng	after all, actually
举办	jǔ bàn	to hold, to conduct
拒绝	jù jué	to refuse, to decline
距离	jù lí	distance, to be apart from
开玩笑	kāi wán xiào	to play a joke, to make fun of
看法	kàn fǎ	view, opinion
考虑	kǎo lǜ	consideration, to think over, to consider
棵	kē	Measure, for trees, plants, etc.
可怜	kě lián	pitiful, poor, pathetic
可是	kě shì	but
咳嗽	ké sou	cough, to cough
可惜	kě xī	it is a pity, what a pity
科学	kē xué	science, scientific
肯定	kěn dìng	to affirm, to confirm, certain, definite, certainly, definitely
恐怕	kǒng pà	I'm afraid that
空气	kōng qì	air, atmosphere
苦	kǔ	bitter, miserable
宽	kuān	wide, broad
困	kùn	sleepy, tired
困难	kùn nan	difficulty, problem, difficult
扩大	kuò dà	to expand, to enlarge
辣	là	spicy
拉	lā	to pull
垃圾桶	lā jī tǒng	rubbish bin
来不及	lái bu jí	there's not enough time
来得及	lái de jí	there is still time to do sth.
懒	lǎn	lazy
浪费	làng fèi	to waste
浪漫	làng màn	romantic
老虎	lǎo hǔ	tiger
冷静	lěng jìng	calm, cool-headed, quite
理发	lǐ fà	to have a haircut
厉害	lì hai	awesome, terrible, strict, severe, difficult to deal with
理解	lǐ jiě	comprehension, understanding, to comprehend, to understand
礼貌	lǐ mào	politeness, courtesy
力气	lì qi	strength
例如	lì rú	for example
理想	lǐ xiǎng	ideal, dream
俩	liǎ	two (people)
连	lián	to link, to join, to connect, even
联系	lián xì	contact, connection, to contact
亮	liàng	to shine, to show, to reveal, bright, clear, shiny
凉快	liáng kuai	pleasantly cool
聊天	liáo tiān	to chat
另外	lìng wài	in addition, morover, furthermore
留	liú	to keep, to remain, to stay, to leave (a message, etc.)
流泪	liú lèi	to shed tears
流利	liú lì	fluent
流行	liú xíng	to spread, popular, fashionable
留学	liú xué	to study abroad
律师	lǜ shī	lawyer
乱	luàn	disorder, to cause disorder, in a mess, confused
麻烦	má fan	to trouble sb., troublesome
马虎	mǎ hu	careless, negligent, casual
满	mǎn	to fill, to satisfy, full, satisfied
毛巾	máo jīn	towel
美丽	měi lì	beautiful
梦	mèng	dream
密码	mì mǎ	password
免费	miǎn fèi	free (of charge)
民族	mín zú	nationality, ethnic group
目的	mù dì	purpose, aim
母亲	mǔ qīn	mother
耐心	nài xīn	patience, patient
难道	nán dào	don't tell me ..., is it possible that ...
难受	nán shòu	to be difficult to bear
内	nèi	inside, inner
内容	nèi róng	content, substance
能力	néng lì	ability, capability
年龄	nián líng	age (of a person)
弄	nòng	to do, to make
农村	nóng cūn	village, rural area
暖和	nuǎn huo	warm
偶尔	ǒu ěr	occasionally
排列	pái liè	arrangement, permutation , to arrange, to put in order
判断	pàn duàn	decision, judgement, to decide, to judge
陪	péi	to accompany
皮肤	pí fū	skin
批评	pī píng	criticism, to criticize
脾气	pí qi	temperament, temper
骗	piàn	to cheat, to swindle
篇	piān	Measure, for chapters, articles, etc.
乒乓球	pīng pāng qiú	table tennis
平时	píng shí	in peacetime, normally
瓶子	píng zi	bottle
破	pò	to break, to destroy, broken, damaged
普遍	pǔ biàn	universal, general
其次	qí cì	next, secondary, secondly
起飞	qǐ fēi	to take off
气候	qì hòu	climate, atmosphere
起来	qǐ lái	to stand up, to get up
其中	qí zhōng	among, in
千万	qiān wàn	10 million, countless, many, must, be sure to
签证	qiān zhèng	visa
墙	qiáng	wall
桥	qiáo	bridge
敲	qiāo	to knock
巧克力	qiǎo kè lì	chocolate
亲戚	qīn qi	relatives
轻	qīng	light, small in number, unimportant
请假	qǐng jià	to ask for leave
请客	qǐng kè	to invite sb. for dinner
情况	qíng kuàng	circumstance, situation
轻松	qīng sōng	relaxed, easy
穷	qióng	poor
取	qǔ	to take, to get
区别	qū bié	difference, to distinguish
全部	quán bù	whole, entire, complete
却	què	but, yet
缺点	quē diǎn	weakness, shortcoming
缺少	quē shǎo	lack, shortage, to lack, to be short of
确实	què shí	indeed, really, for sure, indeed
群	qún	Measure, for group, crowd, etc.
然而	rán ér	however, but
热闹	rè nao	lively, busy
任何	rèn hé	any, whichever, whatever
人民币	rén mín bì	RMB, Chinese Yuan
任务	rèn wu	mission, task
扔	rēng	to throw (away)
仍然	réng rán	still, yet
日记	rì jì	diary
入口	rù kǒu	entrance
软	ruǎn	soft
散步	sàn bù	to take/to go for a walk
森林	sēn lín	forest
沙发	shā fā	sofa
商量	shāng liang	to consult, to discuss
伤心	shāng xīn	sad, grievous, brokenhearted
稍微	shāo wēi	a little bit
社会	shè huì	society
深	shēn	deep, dark (color, etc.)
申请	shēn qǐng	application, to apply for
甚至	shèn zhì	even
剩	shèng	to remain
省	shěng	province, to save, to omit
生活	shēng huó	lif, to live
生命	shēng mìng	life
试	shì	experiment, examination, test, to test, to attempt
失败	shī bài	defeat, failure, to lose, to be defeated
市场	shì chǎng	market
十分	shí fēn	very, completely, fully, utterly, absolutely
师傅	shī fu	master, teacher, used to respectfully address older men
适合	shì hé	to fit, to suit
实际	shí jì	reality, practice, realistic, practical
世纪	shì jì	century
食品	shí pǐn	food
湿润	shī rùn	moist, humid
失望	shī wàng	disappointment, to lose hope, disappointed
适应	shì yìng	to fit, to suit, to adabt
使用	shǐ yòng	to use
实在	shí zài	real, true, really, in fact
狮子	shī zi	lion
收	shōu	to accept, to receive
受不了	shòu bù liǎo	unbearable
受到	shòu dào	to receive, to suffer
首都	shǒu dū	capital city
售货员	shòu huò yuán	salesperson
收入	shōu rù	income, revenue, to take in
收拾	shōu shi	to put in order, to tidy up, to punish
首先	shǒu xiān	first of all
输	shū	to transport, to lose, to be beaten
数量	shù liàng	amount, quantity
熟悉	shú xī	to be familiar with
数字	shù zì	figure, number
帅	shuài	handsome, smart (for men)
顺便	shùn biàn	on the way, in passing by
顺利	shùn lì	smoothly
顺序	shùn xù	sequence, order
说明	shuō míng	explanation, illustration, to explain, to illustrate
硕士	shuò shì	master's degree
死	sǐ	death, to die, dead
速度	sù dù	speed
塑料袋	sù liào dài	plastic bag
算	suàn	to calculate
酸	suān	sour
随便	suí biàn	random, as one wishes
随着	suí zhe	along with, in the wake of
孙子	sūn zi	grandson
所有	suǒ yǒu	to possess, to own, all
台	tái	desk, platform Measure, for vehicles, machinese, etc.
抬	tái	to lift up, to raise, to carry
态度	tài du	manner, attitude
谈	tán	to talk
弹钢琴	tán gāng qín	to play the piano
趟	tàng	Measure, for number of trips or runs made
躺	tǎng	to lie (down), to recline
汤	tāng	soup
讨论	tǎo lùn	discussion, to discuss
讨厌	tǎo yàn	to hate , disgusting, nasty
特点	tè diǎn	characteristic feature
提供	tí gōng	to offer, to supply, to provide
提前	tí qián	to bring forward, to advance
提醒	tí xǐng	to remind, to call attention to
填空	tián kòng	to fill in (questionnaire, etc.)
条件	tiáo jiàn	condition, circumstances
挺	tǐng	to stick out, to stand straight, quite, very, rather Measure, for machine guns
停止	tíng zhǐ	to stop, to halt
通过	tōng guò	to pass through, to get through, via, by
同情	tóng qíng	sympathy, compassion, to sympathize
通知	tōng zhī	notice, to notify, to inform
推	tuī	to push
推迟	tuī chí	to postpone, to defer
脱	tuō	to take off, to shed
袜子	wà zi	socks, stockings
完全	wán quán	complete, whole, entire
往	wǎng	to go, towards, to
网球	wǎng qiú	tennis
往往	wǎng wǎng	often
网站	wǎng zhàn	website
味道	wèi dào	taste, flavour
危险	wēi xiǎn	danger, dangerous
温度	wēn dù	temperature
文章	wén zhāng	article, essay
握手	wò shǒu	to shake hands
无	wú	not
误会	wù huì	misunderstanding, to misunderstand
无聊	wú liáo	boring, bored
无论	wú lùn	no matter how/what
污染	wū rǎn	pollution, contamination, to pollute, to contaminate
西红柿	xī hóng shì	tomato
洗衣机	xǐ yī jī	washing machine
吸引	xī yǐn	to attract (interest, customers, etc.)
咸	xián	salty
现代	xiàn dài	modern times, the contemporary age
羡慕	xiàn mù	to envy, to admire
限制	xiàn zhì	restriction, limit, to restrict, to limit
响	xiǎng	sound, noise, to make a sound, loud, noisy
香	xiāng	fragrang
相反	xiāng fǎn	opposite, contrary
详细	xiáng xì	detailed
效果	xiào guǒ	effect, result
笑话	xiào hua	joke
小说	xiǎo shuō	novel, fiction
消息	xiāo xi	news, information
辛苦	xīn kǔ	hard, toilsome
心情	xīn qíng	mood, state of mind
信任	xìn rèn	trust, to trust
信心	xìn xīn	confidence, faith
信用卡	xìn yòng kǎ	credit card
行	xíng	to walk, to go, capable, competent, OK
醒	xǐng	to wake up
性别	xìng bié	gender, sex
兴奋	xīng fèn	excitement, excited
幸福	xìng fú	happiness, happy
性格	xìng gé	nature, temperament, character
修	xiū	to mend, to repair
许多	xǔ duō	many, a lot of
血	xuè	blood
呀	ya	expressing surprise or doubt
牙膏	yá gāo	toothpaste
压力	yā lì	preassure
亚洲	Yà zhōu	Asia
盐	yán	salt
演出	yǎn chū	performance, show, to perform, to put ona show
严格	yán gé	strict, rigorous
研究生	yán jiū shēng	graduate, postgraduate or research student
演员	yǎn yuán	performer, actor
严重	yán zhòng	grave, serious, critical
养成	yǎng chéng	to cultivate, to form, to acquire
阳光	yáng guāng	sunshine
样子	yàng zi	appearance, manner
邀请	yāo qǐng	invitation, to invite
钥匙	yào shi	key
页	yè	page, leaf Measure, for a page
也许	yě xǔ	perhaps, maybe
叶子	yè zi	leaf
亿	yì	100 million
以	yǐ	because of, so as to, in order to
意见	yì jiàn	opinion, view, objection
一切	yí qiè	all, everything
艺术	yì shù	art
因此	yīn cǐ	thus, consequently
饮料	yǐn liào	drink, beverage
引起	yǐn qǐ	to give rise to, to lead to
印象	yìn xiàng	impression
赢	yíng	to win, to beat
硬	yìng	hard, stiff, firm
勇敢	yǒng gǎn	brave, courageous
永远	yǒng yuǎn	forever, ever
由	yóu	due to, because of, by, from
优点	yōu diǎn	merit, advantage, strong point
友好	yǒu hǎo	friendly
幽默	yōu mò	humor, humorous
尤其	yóu qí	especially, particularly
有趣	yǒu qù	interesting
优秀	yōu xiù	outstanding, excellent
友谊	yǒu yì	friendship
由于	yóu yú	due to, because of
与	yǔ	and, with
语法	yǔ fǎ	grammar
愉快	yú kuài	happy, cheerful
羽毛球	yǔ máo qiú	badminton
于是	yú shì	as a result, consequently
预习	yù xí	to prepare for (a lesson)
语言	yǔ yán	language
圆	yuán	circle, circular, round
原来	yuán lái	former, original, as it turns out
原谅	yuán liàng	to excuse, to forgive
原因	yuán yīn	reason, cause
阅读	yuè dú	reading, to read
约会	yuē huì	appointment, engagement, date
允许	yǔn xǔ	to permit, to allow
杂志	zá zhì	magazine
咱们	zán men	we, us
暂时	zàn shí	temporary
脏	zāng	dirty
责任	zé rèn	duty, responsibility
增加	zēng jiā	to increase, to raise
增长	zēng zhǎng	increase, growth, to increase, to grow
窄	zhǎi	narrow
招聘	zhāo pìn	recruitment, job advertisement, to recruit
真正	zhēn zhèng	genuine, real, true
正常	zhèng cháng	regular, normal, ordinary
正好	zhèng hǎo	just right, just at the right time
整理	zhěng lǐ	to arrange, to tidy up
证明	zhèng míng	proof, certificate, testimonial, to prove, to testify
整齐	zhěng qí	neat, tidy, in good order
正确	zhèng què	correct, proper
正式	zhèng shì	formal, official
指	zhǐ	finger, to point at or to, to indicate
之	zhī	I, he, she it, ..., similar to 的
只	zhī	Measure, for birds and animals, a pair of things, parts of the body, etc.
支持	zhī chí	support, backing, to support, to back
值得	zhí dé	to be worth, to deserve
只好	zhǐ hǎo	have to
直接	zhí jiē	direct, immediate
质量	zhì liàng	quality
至少	zhì shǎo	at least
知识	zhī shi	knowledge
植物	zhí wù	plant
只要	zhǐ yào	if only, as long as
职业	zhí yè	occupation, profession
制造	zhì zào	to make, to manufacture
重点	zhòng diǎn	emphasis, focal point, priority
重视	zhòng shì	to value, to attach importance to
中文	Zhōng wén	Chinese language
周围	zhōu wéi	surroundings, environment, around, about
猪	zhū	pig
主动	zhǔ dòng	to take the initiative, active
祝贺	zhù hè	congratulations, to congratulate
逐渐	zhú jiàn	gradually
著名	zhù míng	famous, well-known
主意	zhǔ yi	idea, plan, decision
赚	zhuàn	to earn, to make a profit
专门	zhuān mén	special, specialized, specialized
专业	zhuān yè	speciality, major, field of study
撞	zhuàng	to hit, to bump against, to collide, to run into
准确	zhǔn què	accurate, precise, exact
准时	zhǔn shí	on time, punctual
自然	zì rán	nature, natural
仔细	zǐ xì	careful, attentive, cautious
总结	zǒng jié	summary, to sum up
租	zū	to rent, to hire
组成	zǔ chéng	composition, to form, to compose, to constitute
组织	zǔ zhī	organisation, to organize
嘴	zuǐ	mouth
最好	zuì hǎo	it would be best, had better
最后	zuì hòu	finally, at last
尊重	zūn zhòng	respect, esteem, to respect, to honor
座	zuò	seat Measure, for cities, buildings, mountains, etc.
做生意	zuò shēng yi	to do business
座位	zuò wèi	seat, place
作者	zuò zhě	author, writer
